Metric ID,Metric Name,Metric Type,Description,Owner,Executive Audience,Calculation,Frequency,Source System,Target Threshold,Alert Threshold,Related Requirement,Related Control,Status
MET-011,Application Portfolio Rationalization Progress,Operational,Measures applications rationalized retired consolidated or modernized,Application Architecture,CIO;COO,Completed rationalization actions divided by planned actions,Quarterly,ServiceNow APM,On plan,Greater than 10 percent variance,ETP-RQ-0011,CTRL-011,Active
MET-012,Capability Mapping Coverage,Control Effectiveness,Measures applications and services mapped to approved business capabilities,Enterprise Architecture,CIO;Business Executives,Mapped applications/services divided by total in scope,Quarterly,ServiceNow APM;CSDM,Greater than or equal to 95 percent,Less than 90 percent,ETP-RQ-0010,CTRL-010,Active
MET-013,CSDM Relationship Completeness,Control Effectiveness,Measures completeness of required relationships between business capabilities services applications and CIs,ServiceNow Platform Owner,CIO;COO,Required relationships populated divided by required relationships expected,Monthly,ServiceNow CSDM/CMDB,Greater than or equal to 95 percent,Less than 90 percent,ETP-RQ-0029,CTRL-029,Active
MET-014,Security Architecture Review Coverage,Control Effectiveness,Measures architecture submissions with required security architecture review,Security Architecture,CISO;CIO,Submissions with completed security review divided by submissions requiring review,Monthly,ServiceNow EA/APM;Archer,Greater than or equal to 95 percent,Less than 90 percent,ETP-RQ-0015,CTRL-015,Active
MET-015,API Product Compliance,Control Effectiveness,Measures APIs registered classified owned and governed as products,Integration Architecture,CIO;CISO,Compliant APIs divided by total APIs in scope,Quarterly,API Gateway;Developer Portal;ServiceNow,Greater than or equal to 95 percent,Less than 90 percent,ETP-RQ-0018,CTRL-018,Active
MET-016,Operational Resilience Coverage,Risk Indicator,Measures critical services with current resilience and recovery validation,Technology Operations,CIO;COO;CRO,Critical services with current validation divided by critical services in scope,Quarterly,ServiceNow;Archer,100 percent critical services,Less than 100 percent,ETP-RQ-0021,CTRL-021,Active
MET-017,Third Party Architecture Review Coverage,Control Effectiveness,Measures third-party technology decisions reviewed by EA and risk before commitment,Enterprise Architecture;TPRM,CIO;CRO,Reviewed third-party decisions divided by total in scope,Monthly,Archer;ServiceNow;Procurement,Greater than or equal to 95 percent,Less than 90 percent,ETP-RQ-0024,CTRL-024,Active
MET-018,AI Governance Review Coverage,Control Effectiveness,Measures AI and emerging technology use cases reviewed through approved governance,AI Governance;Enterprise Architecture,CIO;CDAO;CRO,Reviewed AI use cases divided by total AI use cases in scope,Monthly,AI Inventory;ServiceNow;Archer,100 percent material AI use cases,Less than 100 percent,ETP-RQ-0027,CTRL-027,Active
MET-019,Standards Exception Concentration,Risk Indicator,Measures repeated exceptions against the same standard or pattern,Enterprise Architecture,CIO;CRO,Count of exceptions by standard and requesting organization,Quarterly,ServiceNow EA/APM;Archer,No increasing concentration trend,Three or more repeat exceptions in quarter,ETP-RQ-0020,CTRL-020,Active
MET-020,Governance Reporting Timeliness,Operational,Measures whether monthly governance reporting is produced and distributed on schedule,Head of Enterprise Architecture,CIO;Executive Governance,Reports delivered on time divided by reports due,Monthly,GitHub;SharePoint;ServiceNow,100 percent,Any missed monthly report,ETP-RQ-0032,CTRL-032,Active
